   T   ,  Sig_Np, Rate# ,   Pct_Np,      CumPct,        SigT,      E:SNR0438 ,   Sig,        SigCalc
 5.31469e+04, 1.02037e-05,  1 , 1.09788e-09, 7.67313e-11 , 3.11700e-01, -1.06875e+00, 8.73824e+05, 8.71696e+05
 4.62139e+04, 3.71142e-05,  2 , 3.99335e-09, 4.32559e-10 , 5.19500e-01,  4.77031e-01, 8.47728e+05, 8.48678e+05
 4.01852e+04, 5.26795e-05,  3 , 5.66812e-09, 1.10780e-09 , 7.27300e-01,  1.51865e+00, 8.28145e+05, 8.31169e+05
 3.49430e+04, 7.37549e-05,  4 , 7.93575e-09, 2.05858e-09 , 9.35100e-01, -1.00559e+00, 8.18809e+05, 8.16806e+05
 3.03846e+04, 8.98367e-05,  5 , 9.66609e-09, 3.28878e-09 , 1.14290e+00,  7.16071e-01, 8.02960e+05, 8.04386e+05
 2.64209e+04, 1.02959e-04,  6 , 1.10780e-08, 4.73859e-09 , 1.35070e+00, -1.23972e+00, 7.95713e+05, 7.93245e+05
 2.29743e+04, 1.12728e-04,  7 , 1.21291e-08, 6.36055e-09 , 1.55850e+00,  8.79258e-01, 7.81243e+05, 7.82994e+05
 1.99773e+04, 1.20142e-04,  8 , 1.29268e-08, 8.11172e-09 , 1.76630e+00, -5.04388e-01, 7.74396e+05, 7.73392e+05
 1.73712e+04, 1.21443e-04,  9 , 1.30668e-08, 9.92841e-09 , 1.97410e+00,  5.64712e-02, 7.64171e+05, 7.64284e+05
 1.51051e+04, 1.14026e-04, 10 , 1.22688e-08, 1.16991e-08 , 2.18190e+00,  6.00479e-01, 7.54368e+05, 7.55564e+05
 1.31346e+04, 9.18077e-05, 11 , 9.87817e-09, 1.32470e-08 , 2.38970e+00, -6.72536e-01, 7.48500e+05, 7.47161e+05
 1.14212e+04, 5.64218e-05, 12 , 6.07077e-09, 1.43617e-08 , 2.59750e+00,  1.49114e+00, 7.36052e+05, 7.39022e+05
 9.93131e+03, 7.71930e-06, 13 , 8.30568e-10, 1.48440e-08 , 2.80530e+00,  1.16752e+00, 7.28783e+05, 7.31108e+05
 8.63576e+03, 0.00000e+00, 14 , 0.00000e+00, 1.45184e-08 , 3.01310e+00,  3.96141e-01, 7.22604e+05, 7.23393e+05
 7.50921e+03, 0.00000e+00, 15 , 0.00000e+00, 1.32828e-08 , 3.22090e+00, -2.64643e-01, 7.16380e+05, 7.15853e+05
 6.52963e+03, 0.00000e+00, 16 , 0.00000e+00, 1.11193e-08 , 3.42870e+00, -2.98728e-01, 7.09067e+05, 7.08472e+05
 5.67783e+03, 0.00000e+00, 17 , 0.00000e+00, 8.11106e-09 , 3.53260e+00,  2.31018e-01, 7.04376e+05, 7.04837e+05
 4.93715e+03, 0.00000e+00, 18 , 0.00000e+00, 4.46298e-09 , 3.74040e+00,  3.60122e-01, 6.96952e+05, 6.97669e+05
 4.29309e+03, 0.00000e+00, 19 , 0.00000e+00, 4.37671e-10 , 3.94820e+00, -9.85959e-01, 6.92595e+05, 6.90632e+05
 3.73306e+03, 0.00000e+00, 20 , 0.00000e+00, 0.00000e+00 , 4.15600e+00,  7.32430e-02, 6.83571e+05, 6.83716e+05
 3.24607e+03, 0.00000e+00, 21 , 0.00000e+00, 0.00000e+00 , 4.36380e+00, -6.85020e-01, 6.78280e+05, 6.76916e+05
 2.82262e+03, 0.00000e+00, 22 , 0.00000e+00, 0.00000e+00 , 4.57160e+00,  6.43234e-01, 6.68944e+05, 6.70225e+05
 2.45441e+03, 0.00000e+00, 23 , 0.00000e+00, 0.00000e+00 , 4.77940e+00, -8.55880e-01, 6.65343e+05, 6.63639e+05
