   T   ,  Sig_Np, Rate# ,   Pct_Np,      CumPct,        SigT,      E:SNR0433 ,   Sig,        SigCalc
 4.00000e+04, 1.20225e-06,  1 , 7.81029e-11, 4.72678e-12 , 1.07871e+00,  3.24318e+00, 1.52248e+06, 1.53398e+06
 3.54400e+04, 3.38560e-06,  2 , 2.19942e-10, 2.27644e-11 , 1.24853e+00,  5.73962e+00, 1.51318e+06, 1.53354e+06
 3.13998e+04, 6.32891e-06,  3 , 4.11151e-10, 6.09581e-11 , 1.44507e+00,  5.31377e+00, 1.51418e+06, 1.53302e+06
 2.78201e+04, 9.80738e-06,  4 , 6.37126e-10, 1.24400e-10 , 1.67256e+00,  2.86844e+00, 1.52225e+06, 1.53243e+06
 2.46486e+04, 1.52149e-05,  5 , 9.88423e-10, 2.22778e-10 , 1.93586e+00,  4.49346e-01, 1.53015e+06, 1.53174e+06
 2.18386e+04, 2.48375e-05,  6 , 1.61354e-09, 3.80248e-10 , 2.24061e+00, -1.07506e+00, 1.53476e+06, 1.53095e+06
 1.93490e+04, 3.99923e-05,  7 , 2.59806e-09, 6.35134e-10 , 2.59333e+00, -3.08305e-01, 1.53112e+06, 1.53003e+06
 1.71432e+04, 5.77782e-05,  8 , 3.75350e-09, 1.01953e-09 , 3.00158e+00, -8.10818e-01, 1.53185e+06, 1.52897e+06
 1.51889e+04, 7.33946e-05,  9 , 4.76801e-09, 1.53525e-09 , 3.47410e+00, -8.91639e-01, 1.53092e+06, 1.52776e+06
 1.34573e+04, 9.97205e-05, 10 , 6.47824e-09, 2.21587e-09 , 4.02100e+00, -6.86504e-01, 1.52879e+06, 1.52635e+06
 1.19232e+04, 1.25321e-04, 11 , 8.14138e-09, 3.10065e-09 , 4.65400e+00, -1.86886e+00, 1.53136e+06, 1.52474e+06
 1.05639e+04, 1.53782e-04, 12 , 9.99027e-09, 4.19797e-09 , 5.38664e+00, -1.82510e+00, 1.52935e+06, 1.52288e+06
 9.35961e+03, 1.85723e-04, 13 , 1.20653e-08, 5.53277e-09 , 6.23462e+00, -1.75769e+00, 1.52697e+06, 1.52074e+06
 8.29260e+03, 2.20973e-04, 14 , 1.43553e-08, 7.13174e-09 , 7.21609e+00, -1.76075e+00, 1.52453e+06, 1.51828e+06
 7.34723e+03, 2.60107e-04, 15 , 1.68976e-08, 9.02316e-09 , 8.35207e+00, -2.40530e+00, 1.52400e+06, 1.51547e+06
 6.50964e+03, 3.03466e-04, 16 , 1.97144e-08, 1.12389e-08 , 9.66688e+00, -2.48552e+00, 1.52106e+06, 1.51224e+06
 5.76753e+03, 3.51515e-04, 17 , 2.28358e-08, 1.38140e-08 , 1.03723e+01, -1.93079e+00, 1.51737e+06, 1.51052e+06
 5.11003e+03, 4.04436e-04, 18 , 2.62738e-08, 1.67861e-08 , 1.20051e+01, -1.74248e+00, 1.51277e+06, 1.50659e+06
 4.52748e+03, 4.61428e-04, 19 , 2.99762e-08, 2.01904e-08 , 1.38950e+01, -1.44739e+00, 1.50723e+06, 1.50209e+06
 4.01134e+03, 5.22238e-04, 20 , 3.39267e-08, 2.40578e-08 , 1.60823e+01, -1.65381e+00, 1.50284e+06, 1.49698e+06
 3.55404e+03, 5.86424e-04, 21 , 3.80964e-08, 2.84166e-08 , 1.86141e+01,  7.52589e-01, 1.48849e+06, 1.49116e+06
 3.14888e+03, 6.53535e-04, 22 , 4.24562e-08, 3.32916e-08 , 2.15443e+01,  1.21595e-01, 1.48413e+06, 1.48456e+06
 2.78990e+03, 7.23041e-04, 23 , 4.69716e-08, 3.87038e-08 , 2.49359e+01, -5.83094e-01, 1.47917e+06, 1.47710e+06
 2.47185e+03, 7.94371e-04, 24 , 5.16055e-08, 4.46697e-08 , 2.88614e+01,  4.47986e-01, 1.46709e+06, 1.46868e+06
 2.19006e+03, 8.66931e-04, 25 , 5.63193e-08, 5.12013e-08 , 3.34048e+01,  7.01647e-01, 1.45671e+06, 1.45920e+06
 1.94039e+03, 9.40122e-04, 26 , 6.10741e-08, 5.83059e-08 , 3.86635e+01, -4.67074e-01, 1.45023e+06, 1.44857e+06
 1.71918e+03, 1.01331e-03, 27 , 6.58289e-08, 6.59861e-08 , 4.47501e+01, -2.60071e-01, 1.43761e+06, 1.43668e+06
 1.52319e+03, 1.08650e-03, 28 , 7.05837e-08, 7.42417e-08 , 5.17947e+01,  1.48133e+00, 1.41817e+06, 1.42342e+06
 1.34955e+03, 0.00000e+00, 29 , 0.00000e+00, 7.84335e-08 , 5.99484e+01,  2.27544e+00, 1.40061e+06, 1.40868e+06
 1.19570e+03, 5.10201e+05, 30 , 3.31447e+01, 2.00591e+00 , 6.93857e+01,  2.09691e-01, 1.39157e+06, 1.39231e+06
 1.05939e+03, 1.15018e+07, 31 , 7.47203e+02, 4.92324e+01 , 8.03086e+01, -5.20646e-01, 1.37605e+06, 1.37420e+06
 9.38614e+02, 0.00000e+00, 32 , 0.00000e+00, 9.44530e+01 , 9.29510e+01, -1.16623e-01, 1.35459e+06, 1.35418e+06
 8.31611e+02, 0.00000e+00, 33 , 0.00000e+00, 9.44530e+01 , 1.07584e+02,  1.46936e+00, 1.32686e+06, 1.33207e+06
 7.36806e+02, 0.00000e+00, 34 , 0.00000e+00, 9.44530e+01 , 1.24520e+02,  1.13516e+00, 1.30365e+06, 1.30768e+06
 6.52809e+02, 0.00000e+00, 35 , 0.00000e+00, 9.44530e+01 , 1.44122e+02, -6.62187e-01, 1.28311e+06, 1.28076e+06
 5.78388e+02, 0.00000e+00, 36 , 0.00000e+00, 9.44530e+01 , 1.66810e+02,  5.65400e-01, 1.24905e+06, 1.25105e+06
 5.12451e+02, 0.00000e+00, 37 , 0.00000e+00, 9.44530e+01 , 1.93070e+02, -6.78597e-01, 1.22066e+06, 1.21825e+06
 4.54031e+02, 0.00000e+00, 38 , 0.00000e+00, 9.44530e+01 , 2.23463e+02,  1.68217e+00, 1.17606e+06, 1.18203e+06
 4.02271e+02, 0.00000e+00, 39 , 0.00000e+00, 9.44530e+01 , 2.58642e+02,  5.07785e-02, 1.14186e+06, 1.14204e+06
 3.56412e+02, 1.65939e-04, 40 , 1.07801e-08, 9.44530e+01 , 2.99358e+02, -1.02142e+00, 1.10157e+06, 1.09795e+06
 3.15780e+02, 1.24674e+00, 41 , 8.09931e-05, 9.44530e+01 , 3.46483e+02, -1.23944e+00, 1.05385e+06, 1.04945e+06
 2.79781e+02, 7.94736e+01, 42 , 5.16292e-03, 9.44534e+01 , 4.01028e+02, -3.60342e-02, 9.96450e+05, 9.96322e+05
 2.47886e+02, 6.44961e+02, 43 , 4.18992e-02, 9.44562e+01 , 4.64159e+02,  6.01674e-01, 9.36284e+05, 9.38417e+05
 2.19626e+02, 2.36044e+03, 44 , 1.53344e-01, 9.44680e+01 , 5.37228e+02, -1.19091e+00, 8.79979e+05, 8.75755e+05
 1.94589e+02, 5.83234e+03, 45 , 3.78892e-01, 9.45002e+01 , 6.21800e+02,  5.83582e-02, 8.08336e+05, 8.08543e+05
 1.72405e+02, 1.14655e+04, 46 , 7.44843e-01, 9.45682e+01 , 7.19686e+02, -9.79473e-01, 7.40700e+05, 7.37226e+05
 1.52751e+02, 1.94307e+04, 47 , 1.26230e+00, 9.46897e+01 , 8.32981e+02,  2.24914e-01, 6.61727e+05, 6.62525e+05
 1.35337e+02, 2.95616e+04, 48 , 1.92044e+00, 9.48823e+01 , 9.64111e+02, -1.86988e-02, 5.85529e+05, 5.85463e+05
 1.19909e+02, 4.09141e+04, 49 , 2.65795e+00, 9.51594e+01 , 1.11588e+03, -1.34061e-01, 5.07843e+05, 5.07368e+05
 1.06239e+02, 5.20881e+04, 50 , 3.38385e+00, 9.55251e+01 , 1.29155e+03,  5.02968e-01, 4.28067e+05, 4.29850e+05
 9.41275e+01, 6.17616e+04, 51 , 4.01228e+00, 9.59727e+01 , 1.49487e+03,  5.53462e-01, 3.52771e+05, 3.54733e+05
 8.33969e+01, 6.90843e+04, 52 , 4.48799e+00, 9.64871e+01 , 1.73020e+03, -6.96253e-02, 2.84188e+05, 2.83941e+05
 7.38895e+01, 7.33931e+04, 53 , 4.76791e+00, 9.70473e+01 , 2.00257e+03, -8.87919e-02, 2.19654e+05, 2.19339e+05
 6.54660e+01, 7.42185e+04, 54 , 4.82153e+00, 9.76276e+01 , 2.31782e+03,  8.62002e-01, 1.59485e+05, 1.62542e+05
 5.80028e+01, 7.11712e+04, 55 , 4.62356e+00, 9.81992e+01 , 2.68270e+03,  3.64172e-02, 1.14581e+05, 1.14711e+05
 5.13904e+01, 6.39609e+04, 56 , 4.15515e+00, 9.87305e+01 , 3.10501e+03,  5.70905e-01, 7.43606e+04, 7.63852e+04
 4.55319e+01, 5.25057e+04, 57 , 3.41098e+00, 9.91884e+01 , 3.59381e+03, -1.03554e-01, 4.77595e+04, 4.73923e+04
 4.03412e+01, 3.78821e+04, 58 , 2.46097e+00, 9.95438e+01 , 4.15956e+03, -7.07448e-01, 2.93771e+04, 2.68682e+04
 3.57422e+01, 2.31296e+04, 59 , 1.50259e+00, 9.97837e+01 , 4.81437e+03, -5.99563e-01, 1.55376e+04, 1.34113e+04
 3.16676e+01, 1.14081e+04, 60 , 7.41115e-01, 9.99195e+01 , 5.57226e+03,  3.51071e-01, 4.08996e+03, 5.33502e+03
 2.80574e+01, 3.96936e+03, 61 , 2.57866e-01, 9.99799e+01 , 6.44947e+03, -2.13955e-01, 1.71689e+03, 9.58106e+02
 2.48588e+01, 5.68844e+02, 62 , 3.69544e-02, 9.99978e+01 , 7.46476e+03,  2.95777e-01,-2.19975e+03,-1.15080e+03
