Depth	Sig
3100.0000	0.2259
3050.0000	0.2283
3000.0000	0.2269
2950.0000	0.2299
2900.0000	0.2247
2850.0000	0.2235
2800.0000	0.2218
2750.0000	0.2189
2700.0000	0.2198
2650.0000	0.2159
2600.0000	0.2136
2550.0000	0.2134
2500.0000	0.2102
2450.0000	0.2049
2400.0000	0.2037
2350.0000	0.1970
2300.0000	0.1960
2250.0000	0.1961
2200.0000	0.1931
2150.0000	0.1871
2100.0000	0.1878
2050.0000	0.1884
2000.0000	0.1867
1950.0000	0.1829
1900.0000	0.1816
1850.0000	0.1834
1800.0000	0.1822
1750.0000	0.1831
1700.0000	0.1828
1650.0000	0.1859
1600.0000	0.1952
1550.0000	0.2041
1500.0000	0.2296
1450.0000	0.2460
1400.0000	0.2705
1350.0000	0.2916
1300.0000	0.3062
1250.0000	0.3237
1200.0000	0.3268
1150.0000	0.3270
1100.0000	0.3248
1050.0000	0.3277
1000.0000	0.3223
950.0000	0.3197
900.0000	0.3176
850.0000	0.3175
800.0000	0.3114
750.0000	0.3065
700.0000	0.2957
650.0000	0.2930
600.0000	0.2717
550.0000	0.2564
500.0000	0.2338
450.0000	0.2057
400.0000	0.1740
350.0000	0.1352
300.0000	0.0771
250.0000	0.0200
200.0000	0.0013
150.0000	0.0021
100.0000	0.0010
